Ш (0.944);Щ (0.942);Н (0.918);М (0.904);Ю (0.903);Ь (0.890);И (0.888);Й (0.886);Ц (0.885);Ж (0.879);О (0.877);Ф (0.876);Ъ (0.851);Д (0.850);А (0.841);Э (0.831);Ч (0.830);Б (0.829);В (0.825);Х (0.820);П (0.814);К (0.811);Я (0.810);Е (0.796);Л (0.793);Ё (0.790);Р (0.780);З (0.780);С (0.776);У (0.760);Т (0.612);Г (0.582);I (0.556)
И (0.946);Ф (0.930);М (0.921);Н (0.913);В (0.905);Щ (0.903);Ж (0.901);Б (0.899);Й (0.897);К (0.883);Ю (0.881);Я (0.881);Д (0.875);Р (0.869);Е (0.867);О (0.866);Ш (0.864);Ь (0.856);П (0.855);А (0.853);Х (0.844);Ц (0.842);Э (0.842);Ё (0.829);Ъ (0.822);Л (0.822);Ч (0.810);З (0.809);С (0.774);У (0.772);Т (0.662);Г (0.627);I (0.622)
Ф (0.966);Ж (0.926);И (0.920);М (0.895);Н (0.892);Й (0.890);Щ (0.888);Я (0.887);А (0.886);В (0.877);Д (0.869);К (0.867);Б (0.867);Х (0.861);Р (0.861);Ю (0.857);О (0.848);Э (0.846);Ь (0.845);Е (0.841);Ш (0.839);Ъ (0.833);П (0.825);Ц (0.823);Л (0.819);Ё (0.815);Ч (0.812);З (0.807);У (0.784);С (0.754);Т (0.669);Г (0.611);I (0.598)
И (0.946);Ф (0.930);М (0.921);Н (0.913);В (0.905);Щ (0.903);Ж (0.901);Б (0.899);Й (0.897);К (0.883);Ю (0.881);Я (0.881);Д (0.875);Р (0.869);Е (0.867);О (0.866);Ш (0.864);Ь (0.856);П (0.855);А (0.853);Х (0.844);Ц (0.842);Э (0.842);Ё (0.829);Ъ (0.822);Л (0.822);Ч (0.810);З (0.809);С (0.774);У (0.772);Т (0.662);Г (0.627);I (0.622)
К (0.946);Е (0.943);Ё (0.939);Б (0.886);Р (0.853);Й (0.851);Д (0.843);В (0.835);Ь (0.835);Х (0.821);С (0.820);А (0.820);О (0.810);Ц (0.807);Ф (0.798);И (0.793);Ю (0.791);Щ (0.790);П (0.789);Э (0.787);З (0.785);Ж (0.782);Н (0.777);У (0.770);Ъ (0.768);Я (0.766);Л (0.766);М (0.763);Г (0.753);Ш (0.749);Ч (0.717);Т (0.710);I (0.604)
А (0.960);Х (0.919);Й (0.908);Д (0.901);Ъ (0.886);Ь (0.878);Э (0.873);О (0.869);Ё (0.869);Ц (0.869);Ж (0.867);К (0.866);Ф (0.861);Щ (0.859);У (0.852);Е (0.841);Б (0.837);Ю (0.833);З (0.832);Н (0.831);С (0.824);И (0.823);Л (0.821);Ш (0.813);Р (0.809);В (0.808);Ч (0.806);Я (0.805);М (0.803);П (0.792);Т (0.714);Г (0.663);I (0.537)
Ц (0.972);О (0.943);Ъ (0.921);Щ (0.886);Д (0.880);С (0.880);Ю (0.878);Ш (0.876);Х (0.876);Э (0.875);Ч (0.871);У (0.858);Й (0.856);А (0.855);Н (0.853);Ь (0.845);Л (0.843);Ж (0.842);П (0.833);З (0.817);Ё (0.808);Ф (0.802);М (0.797);И (0.797);К (0.791);Е (0.789);Б (0.785);Я (0.768);Р (0.758);В (0.755);Т (0.699);Г (0.653);I (0.490)
И (0.946);Ф (0.930);М (0.921);Н (0.913);В (0.905);Щ (0.903);Ж (0.901);Б (0.899);Й (0.897);К (0.883);Ю (0.881);Я (0.881);Д (0.875);Р (0.869);Е (0.867);О (0.866);Ш (0.864);Ь (0.856);П (0.855);А (0.853);Х (0.844);Ц (0.842);Э (0.842);Ё (0.829);Ъ (0.822);Л (0.822);Ч (0.810);З (0.809);С (0.774);У (0.772);Т (0.662);Г (0.627);I (0.622)
Я (0.957);И (0.904);Ф (0.897);В (0.890);Д (0.878);Б (0.873);Ж (0.872);Л (0.869);М (0.867);Э (0.864);П (0.858);Н (0.857);Й (0.856);Р (0.855);З (0.852);К (0.851);Х (0.850);Е (0.847);О (0.839);Щ (0.838);А (0.833);Ю (0.816);Ч (0.804);Ъ (0.803);Ё (0.801);Ш (0.800);Ц (0.794);У (0.786);Ь (0.777);С (0.757);Т (0.710);I (0.649);Г (0.622)
Ю (0.968);Н (0.934);Щ (0.931);Ш (0.915);Ж (0.886);М (0.875);О (0.872);Ц (0.862);П (0.856);Ч (0.851);И (0.851);Ф (0.844);Ь (0.829);Ъ (0.824);Р (0.820);Й (0.815);Д (0.808);А (0.804);Х (0.803);Э (0.792);К (0.791);Я (0.790);Б (0.788);В (0.784);Е (0.783);Л (0.782);С (0.768);У (0.759);Ё (0.757);З (0.732);Т (0.629);Г (0.611);I (0.512)
Ж (0.967);Н (0.929);Щ (0.926);Ф (0.918);Ю (0.907);И (0.888);О (0.887);М (0.885);А (0.881);Х (0.875);Ш (0.871);Ч (0.866);Д (0.865);Ъ (0.864);Й (0.863);П (0.861);Я (0.861);Р (0.860);Ц (0.856);Э (0.853);К (0.838);Ь (0.836);Л (0.836);В (0.827);Б (0.827);Е (0.820);У (0.813);Ё (0.796);З (0.794);С (0.778);Т (0.686);Г (0.625);I (0.546)
Ю (0.962);Щ (0.955);Н (0.955);Ж (0.918);О (0.915);Ш (0.912);Ц (0.891);М (0.891);П (0.888);И (0.883);Ф (0.880);Ч (0.871);Д (0.863);Й (0.861);Ъ (0.860);Х (0.853);Ь (0.849);А (0.848);Р (0.847);Э (0.844);Я (0.834);К (0.833);Л (0.832);Б (0.830);Е (0.826);В (0.823);С (0.805);У (0.802);Ё (0.801);З (0.787);Т (0.673);Г (0.638);I (0.545)
Ь (0.946);Й (0.867);Ё (0.857);К (0.842);Ц (0.832);А (0.829);Б (0.824);Щ (0.818);Е (0.817);Д (0.808);Ю (0.803);О (0.797);Ш (0.796);Ф (0.795);В (0.789);Ъ (0.787);Х (0.786);И (0.785);Н (0.784);Ж (0.780);С (0.778);М (0.775);Э (0.763);Р (0.756);З (0.736);У (0.729);П (0.724);Я (0.717);Ч (0.714);Л (0.710);Г (0.636);Т (0.602);I (0.539)
I (0.801);В (0.605);Б (0.593);Е (0.571);К (0.561);Ё (0.528);Р (0.523);И (0.522);Я (0.502);Й (0.497);М (0.495);Ф (0.486);Ь (0.469);Д (0.469);З (0.462);П (0.456);Н (0.446);Щ (0.432);Ю (0.427);Ж (0.426);Э (0.424);О (0.420);А (0.420);Л (0.419);Г (0.418);Ш (0.416);Х (0.414);С (0.412);Ц (0.409);Ъ (0.365);У (0.353);Т (0.351);Ч (0.344)
Х (0.954);Д (0.923);У (0.916);А (0.907);Э (0.903);О (0.900);Ъ (0.898);С (0.885);Ц (0.884);Й (0.873);Л (0.870);Ё (0.867);З (0.866);К (0.847);Ж (0.842);Е (0.842);Щ (0.840);Ч (0.828);Ь (0.827);Ю (0.826);П (0.826);Б (0.819);Ф (0.819);Н (0.817);Р (0.803);Ш (0.799);Я (0.798);И (0.795);В (0.782);Т (0.780);М (0.774);Г (0.708);I (0.525)
О (0.969);Ц (0.943);Ъ (0.904);Ю (0.900);Х (0.899);Д (0.897);Щ (0.895);С (0.889);Э (0.881);П (0.879);Ч (0.878);У (0.874);Н (0.873);Ж (0.866);Л (0.866);Ш (0.865);А (0.864);Й (0.860);Ь (0.838);Ё (0.831);Е (0.828);К (0.827);З (0.825);Ф (0.824);И (0.818);М (0.813);Р (0.812);Б (0.812);Я (0.797);В (0.782);Т (0.735);Г (0.690);I (0.514)
К (0.945);Б (0.942);Е (0.938);Ё (0.926);В (0.886);Й (0.881);Д (0.851);Ь (0.851);Р (0.828);И (0.827);Ф (0.817);А (0.813);Х (0.804);О (0.804);Ц (0.803);З (0.801);Щ (0.797);С (0.795);Э (0.794);М (0.794);Я (0.788);Н (0.787);Ю (0.787);Ж (0.781);П (0.780);Ш (0.765);Л (0.764);Ъ (0.761);У (0.742);Ч (0.709);Г (0.694);Т (0.668);I (0.660)
Л (0.969);Э (0.926);Д (0.913);З (0.902);Х (0.900);О (0.898);П (0.884);У (0.881);Ъ (0.860);Ч (0.855);Я (0.852);Ц (0.847);С (0.846);Ж (0.839);Й (0.838);А (0.837);Н (0.830);Щ (0.830);Е (0.820);Ю (0.818);Ф (0.816);И (0.816);Б (0.814);К (0.811);Ё (0.806);Ш (0.801);Р (0.799);М (0.795);В (0.795);Т (0.788);Ь (0.764);Г (0.672);I (0.564)
А (0.960);Х (0.919);Й (0.908);Д (0.901);Ъ (0.886);Ь (0.878);Э (0.873);О (0.869);Ё (0.869);Ц (0.869);Ж (0.867);К (0.866);Ф (0.861);Щ (0.859);У (0.852);Е (0.841);Б (0.837);Ю (0.833);З (0.832);Н (0.831);С (0.824);И (0.823);Л (0.821);Ш (0.813);Р (0.809);В (0.808);Ч (0.806);Я (0.805);М (0.803);П (0.792);Т (0.714);Г (0.663);I (0.537)
С (0.984);Ц (0.878);О (0.872);У (0.860);Д (0.858);Ё (0.855);Х (0.852);Ъ (0.833);Э (0.832);Е (0.825);Л (0.819);Й (0.815);П (0.814);З (0.814);К (0.811);А (0.809);Ю (0.802);Ь (0.796);Щ (0.794);Б (0.785);Ч (0.782);Н (0.770);Ш (0.770);Т (0.769);Ж (0.766);Г (0.766);Р (0.763);Ф (0.740);И (0.737);В (0.736);Я (0.726);М (0.722);I (0.500)
Т (0.922);Г (0.794);У (0.774);С (0.760);Л (0.729);Х (0.728);З (0.716);Д (0.705);Ё (0.705);Э (0.701);Е (0.696);П (0.691);О (0.687);К (0.676);Р (0.668);Ъ (0.668);А (0.666);Ц (0.661);Ч (0.643);Б (0.640);Й (0.638);Я (0.628);Ж (0.621);Ю (0.615);Щ (0.607);В (0.600);Н (0.599);Ф (0.597);Ь (0.589);И (0.582);Ш (0.569);М (0.555);I (0.430)
Е (0.943);Ё (0.943);К (0.921);Б (0.896);Й (0.845);Д (0.841);В (0.838);С (0.825);Р (0.819);Ь (0.816);Х (0.801);О (0.799);З (0.798);Ц (0.797);А (0.791);Э (0.784);И (0.782);П (0.781);Ф (0.774);Щ (0.769);Ю (0.768);Л (0.765);Я (0.758);Н (0.758);У (0.754);Ж (0.753);Г (0.750);М (0.750);Ъ (0.750);Ш (0.736);Т (0.704);Ч (0.699);I (0.635)
Й (0.969);Д (0.948);А (0.913);Э (0.907);Х (0.900);Б (0.890);Ф (0.889);О (0.885);З (0.881);К (0.880);И (0.877);Ь (0.876);Щ (0.876);Ъ (0.874);Ц (0.873);Ё (0.873);Ж (0.870);В (0.866);Е (0.863);Н (0.857);Я (0.854);Л (0.853);М (0.849);Ш (0.840);Ю (0.839);У (0.826);С (0.822);П (0.819);Ч (0.811);Р (0.809);Т (0.698);Г (0.640);I (0.601)
Э (0.971);Д (0.960);З (0.940);Л (0.924);Х (0.923);О (0.897);Й (0.888);Ъ (0.887);А (0.880);У (0.877);Ц (0.864);Я (0.851);Ж (0.846);С (0.845);Щ (0.842);Ф (0.838);Ч (0.838);П (0.838);Б (0.836);Ё (0.835);И (0.831);Н (0.830);К (0.829);Е (0.828);Ю (0.814);В (0.813);Ш (0.812);М (0.806);Ь (0.804);Р (0.783);Т (0.755);Г (0.651);I (0.574)
А (0.960);Х (0.919);Й (0.908);Д (0.901);Ъ (0.886);Ь (0.878);Э (0.873);О (0.869);Ё (0.869);Ц (0.869);Ж (0.867);К (0.866);Ф (0.861);Щ (0.859);У (0.852);Е (0.841);Б (0.837);Ю (0.833);З (0.832);Н (0.831);С (0.824);И (0.823);Л (0.821);Ш (0.813);Р (0.809);В (0.808);Ч (0.806);Я (0.805);М (0.803);П (0.792);Т (0.714);Г (0.663);I (0.537)
С (0.984);Ц (0.878);О (0.872);У (0.860);Д (0.858);Ё (0.855);Х (0.852);Ъ (0.833);Э (0.832);Е (0.825);Л (0.819);Й (0.815);П (0.814);З (0.814);К (0.811);А (0.809);Ю (0.802);Ь (0.796);Щ (0.794);Б (0.785);Ч (0.782);Н (0.770);Ш (0.770);Т (0.769);Ж (0.766);Г (0.766);Р (0.763);Ф (0.740);И (0.737);В (0.736);Я (0.726);М (0.722);I (0.500)
Т (0.922);Г (0.794);У (0.774);С (0.760);Л (0.729);Х (0.728);З (0.716);Д (0.705);Ё (0.705);Э (0.701);Е (0.696);П (0.691);О (0.687);К (0.676);Р (0.668);Ъ (0.668);А (0.666);Ц (0.661);Ч (0.643);Б (0.640);Й (0.638);Я (0.628);Ж (0.621);Ю (0.615);Щ (0.607);В (0.600);Н (0.599);Ф (0.597);Ь (0.589);И (0.582);Ш (0.569);М (0.555);I (0.430)
М (0.969);И (0.963);Н (0.932);Ф (0.926);Щ (0.909);Ж (0.902);Ю (0.883);Ш (0.883);В (0.880);Я (0.874);Й (0.866);Б (0.859);О (0.847);П (0.841);Д (0.841);Р (0.838);Ь (0.836);К (0.834);А (0.825);Ц (0.825);Е (0.820);Э (0.819);Ч (0.814);Х (0.812);Ъ (0.808);Л (0.802);Ё (0.782);З (0.779);У (0.743);С (0.741);Т (0.625);I (0.611);Г (0.584)
О (0.969);Ц (0.943);Ъ (0.904);Ю (0.900);Х (0.899);Д (0.897);Щ (0.895);С (0.889);Э (0.881);П (0.879);Ч (0.878);У (0.874);Н (0.873);Ж (0.866);Л (0.866);Ш (0.865);А (0.864);Й (0.860);Ь (0.838);Ё (0.831);Е (0.828);К (0.827);З (0.825);Ф (0.824);И (0.818);М (0.813);Р (0.812);Б (0.812);Я (0.797);В (0.782);Т (0.735);Г (0.690);I (0.514)
Щ (0.976);Н (0.942);Ю (0.936);Ш (0.936);Ж (0.926);О (0.919);Ц (0.906);Ъ (0.898);Ч (0.895);М (0.881);Ф (0.878);И (0.869);А (0.868);Й (0.867);Д (0.866);Х (0.864);Э (0.861);Ь (0.856);П (0.851);Л (0.833);Я (0.823);У (0.814);Б (0.805);К (0.804);Р (0.801);С (0.799);В (0.798);З (0.793);Е (0.792);Ё (0.784);Т (0.661);Г (0.606);I (0.519)
Ю (0.962);Щ (0.955);Н (0.955);Ж (0.918);О (0.915);Ш (0.912);Ц (0.891);М (0.891);П (0.888);И (0.883);Ф (0.880);Ч (0.871);Д (0.863);Й (0.861);Ъ (0.860);Х (0.853);Ь (0.849);А (0.848);Р (0.847);Э (0.844);Я (0.834);К (0.833);Л (0.832);Б (0.830);Е (0.826);В (0.823);С (0.805);У (0.802);Ё (0.801);З (0.787);Т (0.673);Г (0.638);I (0.545)
Ь (0.946);Й (0.867);Ё (0.857);К (0.842);Ц (0.832);А (0.829);Б (0.824);Щ (0.818);Е (0.817);Д (0.808);Ю (0.803);О (0.797);Ш (0.796);Ф (0.795);В (0.789);Ъ (0.787);Х (0.786);И (0.785);Н (0.784);Ж (0.780);С (0.778);М (0.775);Э (0.763);Р (0.756);З (0.736);У (0.729);П (0.724);Я (0.717);Ч (0.714);Л (0.710);Г (0.636);Т (0.602);I (0.539)
I (0.801);В (0.605);Б (0.593);Е (0.571);К (0.561);Ё (0.528);Р (0.523);И (0.522);Я (0.502);Й (0.497);М (0.495);Ф (0.486);Ь (0.469);Д (0.469);З (0.462);П (0.456);Н (0.446);Щ (0.432);Ю (0.427);Ж (0.426);Э (0.424);О (0.420);А (0.420);Л (0.419);Г (0.418);Ш (0.416);Х (0.414);С (0.412);Ц (0.409);Ъ (0.365);У (0.353);Т (0.351);Ч (0.344)
Й (0.969);Д (0.948);А (0.913);Э (0.907);Х (0.900);Б (0.890);Ф (0.889);О (0.885);З (0.881);К (0.880);И (0.877);Ь (0.876);Щ (0.876);Ъ (0.874);Ц (0.873);Ё (0.873);Ж (0.870);В (0.866);Е (0.863);Н (0.857);Я (0.854);Л (0.853);М (0.849);Ш (0.840);Ю (0.839);У (0.826);С (0.822);П (0.819);Ч (0.811);Р (0.809);Т (0.698);Г (0.640);I (0.601)
Т (0.922);Г (0.794);У (0.774);С (0.760);Л (0.729);Х (0.728);З (0.716);Д (0.705);Ё (0.705);Э (0.701);Е (0.696);П (0.691);О (0.687);К (0.676);Р (0.668);Ъ (0.668);А (0.666);Ц (0.661);Ч (0.643);Б (0.640);Й (0.638);Я (0.628);Ж (0.621);Ю (0.615);Щ (0.607);В (0.600);Н (0.599);Ф (0.597);Ь (0.589);И (0.582);Ш (0.569);М (0.555);I (0.430)
О (0.969);Ц (0.943);Ъ (0.904);Ю (0.900);Х (0.899);Д (0.897);Щ (0.895);С (0.889);Э (0.881);П (0.879);Ч (0.878);У (0.874);Н (0.873);Ж (0.866);Л (0.866);Ш (0.865);А (0.864);Й (0.860);Ь (0.838);Ё (0.831);Е (0.828);К (0.827);З (0.825);Ф (0.824);И (0.818);М (0.813);Р (0.812);Б (0.812);Я (0.797);В (0.782);Т (0.735);Г (0.690);I (0.514)
Л (0.969);Э (0.926);Д (0.913);З (0.902);Х (0.900);О (0.898);П (0.884);У (0.881);Ъ (0.860);Ч (0.855);Я (0.852);Ц (0.847);С (0.846);Ж (0.839);Й (0.838);А (0.837);Н (0.830);Щ (0.830);Е (0.820);Ю (0.818);Ф (0.816);И (0.816);Б (0.814);К (0.811);Ё (0.806);Ш (0.801);Р (0.799);М (0.795);В (0.795);Т (0.788);Ь (0.764);Г (0.672);I (0.564)
Ч (0.964);О (0.913);Ъ (0.898);Ж (0.889);Л (0.886);Щ (0.880);Н (0.878);Х (0.878);П (0.877);Ю (0.875);Э (0.875);Ц (0.867);У (0.867);Ш (0.855);Д (0.852);А (0.838);Ф (0.823);Я (0.816);М (0.813);И (0.809);С (0.807);Й (0.807);З (0.805);Р (0.785);Ь (0.770);К (0.762);Е (0.760);Б (0.755);Ё (0.748);В (0.746);Т (0.727);Г (0.623);I (0.483)
О (0.969);Ц (0.943);Ъ (0.904);Ю (0.900);Х (0.899);Д (0.897);Щ (0.895);С (0.889);Э (0.881);П (0.879);Ч (0.878);У (0.874);Н (0.873);Ж (0.866);Л (0.866);Ш (0.865);А (0.864);Й (0.860);Ь (0.838);Ё (0.831);Е (0.828);К (0.827);З (0.825);Ф (0.824);И (0.818);М (0.813);Р (0.812);Б (0.812);Я (0.797);В (0.782);Т (0.735);Г (0.690);I (0.514)
К (0.946);Е (0.943);Ё (0.939);Б (0.886);Р (0.853);Й (0.851);Д (0.843);В (0.835);Ь (0.835);Х (0.821);С (0.820);А (0.820);О (0.810);Ц (0.807);Ф (0.798);И (0.793);Ю (0.791);Щ (0.790);П (0.789);Э (0.787);З (0.785);Ж (0.782);Н (0.777);У (0.770);Ъ (0.768);Я (0.766);Л (0.766);М (0.763);Г (0.753);Ш (0.749);Ч (0.717);Т (0.710);I (0.604)
П (0.954);О (0.892);Ю (0.864);Л (0.862);С (0.850);Ц (0.849);Д (0.849);Р (0.849);Н (0.847);Х (0.839);Щ (0.839);Е (0.839);Ч (0.836);Э (0.831);Ж (0.827);У (0.823);К (0.819);Ъ (0.812);Ш (0.812);Б (0.808);И (0.806);Я (0.805);Й (0.802);Ё (0.801);З (0.800);М (0.797);Ф (0.793);А (0.789);В (0.786);Ь (0.766);Т (0.757);Г (0.722);I (0.547)
О (0.969);Ц (0.943);Ъ (0.904);Ю (0.900);Х (0.899);Д (0.897);Щ (0.895);С (0.889);Э (0.881);П (0.879);Ч (0.878);У (0.874);Н (0.873);Ж (0.866);Л (0.866);Ш (0.865);А (0.864);Й (0.860);Ь (0.838);Ё (0.831);Е (0.828);К (0.827);З (0.825);Ф (0.824);И (0.818);М (0.813);Р (0.812);Б (0.812);Я (0.797);В (0.782);Т (0.735);Г (0.690);I (0.514)
Э (0.971);Д (0.960);З (0.940);Л (0.924);Х (0.923);О (0.897);Й (0.888);Ъ (0.887);А (0.880);У (0.877);Ц (0.864);Я (0.851);Ж (0.846);С (0.845);Щ (0.842);Ф (0.838);Ч (0.838);П (0.838);Б (0.836);Ё (0.835);И (0.831);Н (0.830);К (0.829);Е (0.828);Ю (0.814);В (0.813);Ш (0.812);М (0.806);Ь (0.804);Р (0.783);Т (0.755);Г (0.651);I (0.574)
Ъ (0.963);Х (0.922);А (0.916);Ц (0.910);Э (0.907);О (0.905);Д (0.901);У (0.890);Й (0.876);Щ (0.865);Ч (0.857);Ж (0.854);Л (0.851);С (0.850);З (0.846);Ь (0.845);Ш (0.838);Ю (0.837);Н (0.832);Ф (0.822);Ё (0.817);К (0.798);П (0.798);И (0.797);М (0.787);Б (0.786);Е (0.786);Я (0.784);В (0.759);Р (0.754);Т (0.716);Г (0.637);I (0.493)
Ё (0.963);Е (0.904);К (0.896);Б (0.871);Й (0.849);Д (0.845);С (0.837);Ь (0.822);В (0.812);Х (0.808);З (0.808);А (0.802);Ц (0.800);О (0.795);Э (0.790);Р (0.784);У (0.765);И (0.762);Ф (0.761);Л (0.760);Ъ (0.760);Щ (0.759);П (0.756);Ю (0.752);Г (0.745);Ж (0.741);Н (0.740);Я (0.740);М (0.730);Ш (0.727);Т (0.707);Ч (0.693);I (0.611)
М (0.969);И (0.963);Н (0.932);Ф (0.926);Щ (0.909);Ж (0.902);Ю (0.883);Ш (0.883);В (0.880);Я (0.874);Й (0.866);Б (0.859);О (0.847);П (0.841);Д (0.841);Р (0.838);Ь (0.836);К (0.834);А (0.825);Ц (0.825);Е (0.820);Э (0.819);Ч (0.814);Х (0.812);Ъ (0.808);Л (0.802);Ё (0.782);З (0.779);У (0.743);С (0.741);Т (0.625);I (0.611);Г (0.584)
У (0.952);Х (0.898);С (0.884);Ъ (0.858);Э (0.858);Д (0.855);О (0.854);Л (0.852);А (0.838);Т (0.836);Ц (0.836);З (0.829);Ё (0.808);Ч (0.808);П (0.799);Й (0.793);Ж (0.783);Е (0.783);К (0.779);Щ (0.777);Ю (0.775);Н (0.757);Р (0.756);Ь (0.753);Б (0.747);Ф (0.746);Я (0.743);Ш (0.741);Г (0.731);И (0.723);В (0.710);М (0.705);I (0.467)
